,Region codes,Region,Data item,2022-23
249,5,Western Australia,Passionfruit - Farm gate value ($m),1.5
250,7,Northern Territory,Passionfruit - Production (t),6
251,7,Northern Territory,Passionfruit - Farm gate value ($m),0.0
254,1,New South Wales,Pears - Production (t),925
255,1,New South Wales,Pears - Farm gate value ($m),1.3
256,2,Victoria,Pears - Production (t),"74,885"
257,2,Victoria,Pears - Farm gate value ($m),102.1
258,3,Queensland,Pears - Production (t),925
259,3,Queensland,Pears - Farm gate value ($m),1.3
260,4,South Australia,Pears - Production (t),"8,321"
261,4,South Australia,Pears - Farm gate value ($m),11.4
262,5,Western Australia,Pears - Production (t),"6,472"
263,5,Western Australia,Pears - Farm gate value ($m),8.8
264,6,Tasmania,Pears - Production (t),925
265,6,Tasmania,Pears - Farm gate value ($m),1.3
268,1,New South Wales,Persimmons - Production (t),729
269,1,New South Wales,Persimmons - Farm gate value ($m),3.6
270,2,Victoria,Persimmons - Production (t),911
271,2,Victoria,Persimmons - Farm gate value ($m),4.5
272,3,Queensland,Persimmons - Production (t),"1,276"
273,3,Queensland,Persimmons - Farm gate value ($m),6.3
274,4,South Australia,Persimmons - Production (t),547
275,4,South Australia,Persimmons - Farm gate value ($m),2.7
276,5,Western Australia,Persimmons - Production (t),182
277,5,Western Australia,Persimmons - Farm gate value ($m),0.9
280,3,Queensland,Pineapples - Production (t),"72,178"
281,3,Queensland,Pineapples - Farm gate value ($m),76.0
284,1,New South Wales,Plums - Production (t),"4,551"
285,1,New South Wales,Plums - Farm gate value ($m),12.7
286,2,Victoria,Plums - Production (t),"12,198"
287,2,Victoria,Plums - Farm gate value ($m),34.0
288,3,Queensland,Plums - Production (t),"1,217"
289,3,Queensland,Plums - Farm gate value ($m),3.4
290,4,South Australia,Plums - Production (t),"1,241"
291,4,South Australia,Plums - Farm gate value ($m),3.5
292,5,Western Australia,Plums - Production (t),"4,771"
293,5,Western Australia,Plums - Farm gate value ($m),13.3
294,6,Tasmania,Plums - Production (t),67
295,6,Tasmania,Plums - Farm gate value ($m),0.2
298,1,New South Wales,Rubus berries - Production (t),"2,455"
299,1,New South Wales,Rubus berries - Farm gate value ($m),50.4
300,2,Victoria,Rubus berries - Production (t),"2,775"
301,2,Victoria,Rubus berries - Farm gate value ($m),57.0
302,3,Queensland,Rubus berries - Production (t),"1,708"
303,3,Queensland,Rubus berries - Farm gate value ($m),35.1
304,4,South Australia,Rubus berries - Production (t),213
305,4,South Australia,Rubus berries - Farm gate value ($m),4.4
306,5,Western Australia,Rubus berries - Production (t),534
307,5,Western Australia,Rubus berries - Farm gate value ($m),11.0
308,6,Tasmania,Rubus berries - Production (t),"3,095"
309,6,Tasmania,Rubus berries - Farm gate value ($m),63.5
312,1,New South Wales,Strawberries - Production (t),658
313,1,New South Wales,Strawberries - Farm gate value ($m),4.3
314,2,Victoria,Strawberries - Production (t),"23,368"
315,2,Victoria,Strawberries - Farm gate value ($m),152.4
316,3,Queensland,Strawberries - Production (t),"27,646"
317,3,Queensland,Strawberries - Farm gate value ($m),180.2
318,4,South Australia,Strawberries - Production (t),"4,608"
319,4,South Australia,Strawberries - Farm gate value ($m),30.0
320,5,Western Australia,Strawberries - Production (t),"6,912"
321,5,Western Australia,Strawberries - Farm gate value ($m),45.1
322,6,Tasmania,Strawberries - Production (t),"2,633"
323,6,Tasmania,Strawberries - Farm gate value ($m),17.2
326,1,New South Wales,Table grapes - Production (t),"23,296"
327,1,New South Wales,Table grapes - Farm gate value ($m),91.9
328,2,Victoria,Table grapes - Production (t),"181,710"
329,2,Victoria,Table grapes - Farm gate value ($m),716.5
330,3,Queensland,Table grapes - Production (t),"11,648"
331,3,Queensland,Table grapes - Farm gate value ($m),45.9
332,4,South Australia,Table grapes - Production (t),"9,318"
333,4,South Australia,Table grapes - Farm gate value ($m),36.7
334,5,Western Australia,Table grapes - Production (t),"5,847"
335,5,Western Australia,Table grapes - Farm gate value ($m),23.1
336,7,Northern Territory,Table grapes - Production (t),"1,142"
337,7,Northern Territory,Table grapes - Farm gate value ($m),4.5
340,1,New South Wales,Watermelons - Production (t),"53,031"
341,1,New South Wales,Watermelons - Farm gate value ($m),50.7
342,2,Victoria,Watermelons - Production (t),"9,943"
343,2,Victoria,Watermelons - Farm gate value ($m),9.5
344,3,Queensland,Watermelons - Production (t),"56,346"
345,3,Queensland,Watermelons - Farm gate value ($m),53.8
346,4,South Australia,Watermelons - Production (t),"4,972"
347,4,South Australia,Watermelons - Farm gate value ($m),4.8
348,5,Western Australia,Watermelons - Production (t),"23,201"
349,5,Western Australia,Watermelons - Farm gate value ($m),22.2
350,7,Northern Territory,Watermelons - Production (t),"18,230"
351,7,Northern Territory,Watermelons - Farm gate value ($m),17.4
352,(t) Tonnes,,,
353,($m) Millions of dollars,,,
354,© Commonwealth of Australia,,,
